BUSINESSNAME,ISSDTTM,EXPDTTM,LICCAT,CAPACITY,STNO,Address,Location,Lat,Long
"BADOINKAS, LLC",11/20/2013 12:00:00 AM,12/31/2016 12:00:00 AM,All Alc,211,83,  Harvard AV,"(42.353503, -71.132378)",42.25937265,-71.12219260675178
"NEXT DROP,INC.",11/22/2013 12:00:00 AM,12/31/2016 12:00:00 AM,All Alc,99,33, Massachusetts Av,"(0.0, 0.0)",42.350248,-71.0893226
"FLAHERTY, INC.",11/22/2013 12:00:00 AM,12/31/2016 12:00:00 AM,All Alc,262,16,W Broadway  ,"(0.0, 0.0)",42.342721316961104,-71.05673694939013
"CALAMARI FISHERIES, INC.",11/29/2013 12:00:00 AM,12/31/2016 12:00:00 AM,Malt Wine,20,323, Hanover St,"(0.0, 0.0)",42.3641206,-71.0539844
"CALAMARI COURT, INC.",11/29/2013 12:00:00 AM,12/31/2016 12:00:00 AM,All Alc,107,2, Northern Av,"(0.0, 0.0)",42.355141,-71.05086
"RED ROCKETS, LLC",11/26/2013 12:00:00 AM,12/31/2016 12:00:00 AM,All Alc,62,100,  Chandler ST,"(42.34626, -71.07288)",42.3463152,-71.0729011
"HALE MARKETING, INC.",11/27/2013 12:00:00 AM,12/31/2016 12:00:00 AM,All Alc,150,3712, Washington St,"(0.0, 0.0)",42.3002158,-71.1131888
"THE DUGOUT CAFE, INC.",11/21/2013 12:00:00 AM,12/31/2016 12:00:00 AM,All Alc,96,722,  Commonwealth AV,"(42.34957, -71.10598)",42.3496292,-71.1059547
"EWalk SE1, LLC",11/20/2013 12:00:00 AM,12/31/2016 12:00:00 AM,All Alc,80,1415,  Washington ST,"(42.341226, -71.07053)",42.2620157,-71.1564057
"BOYLSTON ENTERTAINMENT, INC.",11/26/2013 12:00:00 AM,12/31/2016 12:00:00 AM,All Alc,672,1, Boylston Pl,"(42.352142, -71.06615)",42.316183,-71.102754
"TOASTED BROTHERS BB, LLC",11/26/2013 12:00:00 AM,12/31/2016 12:00:00 AM,All Alc,125,35, Stanhope St,"(0.0, 0.0)",42.3484832,-71.0732342
"The Frogmore, LLC",02/05/2016 12:00:00 AM,12/31/2016 12:00:00 AM,All Alc Restr,95,365,  Centre ST,"(42.322657, -71.108212)",42.294618285714286,-71.05807528571428
"HENRY'S DELICATESSEN, LLC",11/27/2013 12:00:00 AM,12/31/2016 12:00:00 AM,All Alc,90,1395,  Washington ST,"(42.34136, -71.07015)",42.2620157,-71.1564057
"THE ISABELLA STEWART GARDNER MUSEUM, INCORPORATED",11/21/2013 12:00:00 AM,12/31/2016 12:00:00 AM,Malt Wine,1293,280,  Fenway  ,"(42.338764, -71.098844)",42.33885643352518,-71.09870037237938
"SYMPHONY EXCHANGE, INC.",11/29/2013 12:00:00 AM,12/31/2016 12:00:00 AM,All Alc,90,250,  Huntington AV,"(42.342201, -71.08503)",42.3412570020076,-71.08714887590449
"1625 EXCHANGE, INC.",11/29/2013 12:00:00 AM,12/31/2016 12:00:00 AM,All Alc,42,1625,  Tremont ST,"(42.33392, -71.10354)",42.333808875,-71.103476125
Boston Pubs LLC,11/29/2013 12:00:00 AM,12/31/2016 12:00:00 AM,All Alc,231,148,  State ST,"(42.359387, -71.054174)",42.3593344,-71.054186
THE 15 LAGRANGE STREET CORPORATION,11/12/2013 12:00:00 AM,12/31/2016 12:00:00 AM,All Alc,99,22, Lagrange St,"(0.0, 0.0)",42.273639149999994,-71.14466773466282
"GLENVILLE TAVERN SERVICES, INC.",11/26/2013 12:00:00 AM,12/31/2016 12:00:00 AM,Malt Wine,95,87, Glenville Av,"(0.0, 0.0)",42.34947823183396,-71.13495500141543
"170, LLC",11/25/2013 12:00:00 AM,12/31/2016 12:00:00 AM,All Alc,206,170, Milk St,"(0.0, 0.0)",42.3587309,-71.05259344362422
"DAVID N. MURRAY, INDIVIDUAL",11/29/2013 12:00:00 AM,12/31/2014 12:00:00 AM,All Alc,295,69,  Canal ST,"(42.36407, -71.05936)",42.3640688,-71.0594262
"GREEN BRIAR TAVERN, INC.",12/01/2013 12:00:00 AM,12/31/2016 12:00:00 AM,All Alc,360,280,  Washington ST,"(42.348095, -71.150232)",42.301073734271625,-71.07613980801274
"GALWAY, INC.",11/26/2013 12:00:00 AM,12/31/2016 12:00:00 AM,All Alc,693,85,  Causeway ST,"(42.364591, -71.062338)",42.364582,-71.0624441
"ANGLO HOSPITALITY, INC.",11/27/2013 12:00:00 AM,12/31/2016 12:00:00 AM,All Alc,45,2, Perkins St,"(0.0, 0.0)",42.3217745,-71.1103861
"SPORTER'S CAFE, INC.",11/26/2013 12:00:00 AM,12/31/2016 12:00:00 AM,All Alc,150,228,  Cambridge ST,"(42.360985, -71.06661)",42.3610059,-71.0666758
"BOSTON SPEAKEASY, INC.",11/22/2013 12:00:00 AM,12/31/2016 12:00:00 AM,All Alc,180,1277,  Commonwealth AV,"(42.34982, -71.13342)",42.3504455,-71.1093057
"MRJ, INC.",11/19/2013 12:00:00 AM,12/31/2016 12:00:00 AM,All Alc,150,18,  Province ST,"(42.357254, -71.05958)",42.35723882099982,-71.05962131206
"ROCK HARD PRODUCTIONS, INC.",11/26/2013 12:00:00 AM,12/31/2016 12:00:00 AM,All Alc,260,216, Hanover St,"(0.0, 0.0)",42.362917,-71.055523
"HE PUB, INC.",11/26/2013 12:00:00 AM,12/31/2016 12:00:00 AM,All Alc,88,144,  South ST,"(42.305066, -71.114449)",42.3050894,-71.1145161
"F.S. POPS, LLC",11/27/2013 12:00:00 AM,12/31/2016 12:00:00 AM,All Alc Restr,48,560, Tremont St,"(0.0, 0.0)",42.343696,-71.071939
"CALLAN HOSPITALITY,INC.",11/27/2013 12:00:00 AM,12/31/2016 12:00:00 AM,All Alc,120,102, Broad St,"(0.0, 0.0)",42.357302,-71.05209203869494
"ATLANTIC 101, INC.",11/25/2013 12:00:00 AM,12/31/2016 12:00:00 AM,All Alc,240,101,  Atlantic AV,"(42.361781, -71.052341)",42.36200861381552,-71.05110155720904
"THE PARISH CAFE, INC.",11/21/2013 12:00:00 AM,12/31/2016 12:00:00 AM,All Alc,140,359, Boylston St,"(0.0, 0.0)",42.35192145,-71.07167637321993
"Saturday Afternoon, Inc.",11/25/2013 12:00:00 AM,12/31/2016 12:00:00 AM,All Alc,1262,1254, Boylston St,"(0.0, 0.0)",42.34505838722046,-71.09561141955507
"TRIPLE PS, LLC",11/21/2013 12:00:00 AM,12/31/2016 12:00:00 AM,All Alc,139,28,W Broadway ,"(42.342726, -71.056519)",42.34257706206541,-71.05651341079849
"MABROTHERS, LLC",11/27/2013 12:00:00 AM,12/31/2016 12:00:00 AM,All Alc,182,10,  Bosworth ST,"(42.356873, -71.06026)",42.3569,-71.060166
YOEVE CORP.,11/27/2013 12:00:00 AM,12/31/2016 12:00:00 AM,All Alc,65,1152,  River ST,"(42.25647, -71.12031)",42.256512386107715,-71.12035207592818
"RAGLIN ROAD, INC.",11/21/2013 12:00:00 AM,12/31/2016 12:00:00 AM,All Alc,253,60,  Franklin ST,"(42.35577, -71.05838)",42.357624,-71.13320818830474
"BROUGHTON ENTERPRISES, INC.",11/25/2013 12:00:00 AM,12/31/2016 12:00:00 AM,All Alc,99,3492,  Washington ST,"(42.30628, -71.10743)",42.306339,-71.107474
"BK & PF, LLC",11/21/2013 12:00:00 AM,12/31/2016 12:00:00 AM,All Alc,273,222, Friend St,"(0.0, 0.0)",42.36425785714286,-71.06091712244898
"THE OCEANAIRE RESTAURANT COMPANY, INC.",11/21/2013 12:00:00 AM,12/31/2016 12:00:00 AM,All Alc,310,40, Court St,"(42.35903, -71.05927)",42.359094891146476,-71.05913310580077
"BOSTON CULINARY GROUP, INC.",10/01/2013 12:00:00 AM,12/31/2016 12:00:00 AM,Malt Wine,2763,1, Hamilton Pl,"(42.356225, -71.060994)",42.3562581,-71.06079779718502
THE PAINT BAR LLC,11/26/2013 12:00:00 AM,12/31/2016 12:00:00 AM,Malt Wine,37,248,  Newbury ST,"(42.34936, -71.08253)",42.3493136,-71.082583
"667 EAST BROADWAY, INC.",11/26/2013 12:00:00 AM,12/31/2016 12:00:00 AM,Malt Wine,48,667,E Broadway ,"(42.33542, -71.03786)",42.335490368421056,-71.03846223684211
"CHUCK'S CAFÉ, INC.",11/22/2013 12:00:00 AM,12/31/2016 12:00:00 AM,All Alc,48,44,  Charles ST,"(42.35724, -71.070269)",42.3573139,-71.0702328
"FACTOTUM TAP ROOM, INC.",11/21/2013 12:00:00 AM,12/31/2016 12:00:00 AM,All Alc,92,493, Massachusetts Av,"(0.0, 0.0)",42.3392951,-71.08074413617254
"Pink Samurai, LLC",11/27/2013 12:00:00 AM,12/31/2016 12:00:00 AM,All Alc,16,658,  Centre ST,"(42.312748, -71.113869)",42.2978789,-71.1302825
JABC CORP.,11/29/2013 12:00:00 AM,12/31/2016 12:00:00 AM,All Alc,180,658,E Broadway ,"(42.33579, -71.03809)",42.335773599999996,-71.03802074748202
"BVP, LLC",11/26/2013 12:00:00 AM,12/31/2016 12:00:00 AM,All Alc,270,147, Hanover St,"(0.0, 0.0)",42.36273274193548,-71.05544006451613
"AUDITORIUM CAFE, INC.",11/27/2013 12:00:00 AM,12/31/2016 12:00:00 AM,All Alc,302,909, Boylston St,"(0.0, 0.0)",42.3484628,-71.08432696119658
TPN CORP.,02/05/2016 12:00:00 AM,12/31/2016 12:00:00 AM,All Alc Restr,0,328,  Washington ST,"(42.34887, -71.152162)",42.34895826666666,-71.15188746666666
"RATTLESNAKE BAR & GRILL, INC.",11/29/2013 12:00:00 AM,12/31/2016 12:00:00 AM,All Alc,435,384, Boylston St,"(0.0, 0.0)",42.351273,-71.0718661
"THE SALTY DOG, INC.",11/20/2013 12:00:00 AM,12/31/2016 12:00:00 AM,All Alc,154,206, Faneuil Hall Marketplace ,"(0.0, 0.0)",42.36005485,-71.05460485041264
"SEAPOINT, INC.",11/29/2013 12:00:00 AM,12/31/2016 12:00:00 AM,All Alc,400,367,E Eighth ST,"(42.33113, -71.04634)",42.331095250000004,-71.04633532624585
"SEVENS ALE HOUSE, INC.",11/26/2013 12:00:00 AM,12/31/2016 12:00:00 AM,Malt Wine,86,77,  Charles ST,"(42.35833, -71.07039)",42.3583275,-71.0703958
ALLSTON VENTURE FIVE INC.,11/25/2013 12:00:00 AM,12/31/2016 12:00:00 AM,All Alc,151,1249,  Commonwealth AV,"(42.35021, -71.13215)",42.3501647,-71.1321201
"TWO POUNDS, INC.",11/29/2013 12:00:00 AM,12/31/2016 12:00:00 AM,All Alc,90,31,  India ST,"(42.35823, -71.05315)",42.35833654054054,-71.05314513513514
"BOSTON NIGHT LIFE VENTURES, INC.",11/19/2013 12:00:00 AM,12/31/2016 12:00:00 AM,All Alc,130,17, Union St,"(0.0, 0.0)",42.374202800000006,-71.06437972714932
"UC SOUTH END, LLC",11/21/2013 12:00:00 AM,12/31/2016 12:00:00 AM,Malt Wine,41,683,  Tremont ST,"(42.34156, -71.07662)",42.34157728571429,-71.07632728571429
"PURSUIT, INC.",11/20/2013 12:00:00 AM,12/31/2016 12:00:00 AM,Malt Wine,35,200,  Faneuil Hall Marketplace  ,"(42.360199, -71.054798)",42.36005485,-71.05460485041264
"LEESIDE RESTAURANT, INC.",11/20/2013 12:00:00 AM,12/31/2016 12:00:00 AM,All Alc,547,150, Northern Av,"(0.0, 0.0)",42.35021834811332,-71.04246874110947
THE WILDROVERS INCORPORATED,11/21/2013 12:00:00 AM,12/31/2016 12:00:00 AM,All Alc,464,63,  Chatham ST,"(42.359592, -71.053951)",42.359627,-71.0544442
"THORNTON COMPANIES, INC.",11/26/2013 12:00:00 AM,12/31/2016 12:00:00 AM,All Alc,94,100,  Peterborough ST,"(42.342993, -71.099359)",42.343073,-71.09936
"Tia's Waterfront, LLC",11/20/2013 12:00:00 AM,12/31/2016 12:00:00 AM,All Alc,260,200,  Atlantic AV,"(0.0, 0.0)",42.3536077,-71.0537511
"222 BERKELEY RESTAURANT, LLC",11/22/2013 12:00:00 AM,12/31/2016 12:00:00 AM,All Alc,253,222,  Berkeley ST,"(42.35084, -71.07311)",42.3506879,-71.0732592
"TIGER MAMA, LLC",11/26/2013 12:00:00 AM,12/31/2016 12:00:00 AM,All Alc,210,1363,  Boylston ST,"(0.0, 0.0)",42.3440996,-71.1003174
nan,10/10/2014 12:00:00 AM,12/31/2016 12:00:00 AM,Malt Wine,26,3706,  Washington ST,"(42.30036, -71.11297)",42.3003852,-71.1130259
"TKBMA, LLC",11/22/2013 12:00:00 AM,12/31/2016 12:00:00 AM,All Alc,442,96,  Brookline AV,"(42.34612, -71.09929)",42.3461618,-71.0993239
"TIP TAP ROOM, INC.",11/26/2013 12:00:00 AM,12/31/2016 12:00:00 AM,All Alc,165,138,  Cambridge ST,"(42.361003, -71.063928)",42.3610246,-71.0639676
"VEE & VEE PRODUCTIONS, LLC",11/27/2013 12:00:00 AM,12/31/2016 12:00:00 AM,Malt Wine,37,763,  Centre ST,"(42.310283, -71.11526)",42.310246,-71.115202
SHANGHAI RESTAURANT & BAR CORPORATION,11/26/2013 12:00:00 AM,12/31/2016 12:00:00 AM,All Alc,83,232, Tremont St,"(42.351219, -71.064646)",42.35123,-71.0646747
"TOM ENGLISH'S COTTAGE, INC.",11/27/2013 12:00:00 AM,12/31/2016 12:00:00 AM,All Alc,189,112,  Emerson ST,"(42.336005, -71.040421)",42.335856829689725,-71.04047155440459
"Rebel Restaurants Fenway, LLC",11/08/2013 12:00:00 AM,12/31/2016 12:00:00 AM,All Alc,360,1265,  Boylston ST,"(0.0, 0.0)",42.3452714,-71.0963611
PAULINE ANN IMBORNONE,11/21/2013 12:00:00 AM,12/31/2016 12:00:00 AM,Malt Wine,97,192, Baker St,"(0.0, 0.0)",42.2760674,-71.1671996
SELECT RESTAURANTS' INC.,11/20/2013 12:00:00 AM,12/31/2016 12:00:00 AM,All Alc,837,800,  Boylston ST,"(42.347296, -71.081457)",42.3471718,-71.08250628733232
1704 WASHINGTON LLC,11/25/2013 12:00:00 AM,12/31/2016 12:00:00 AM,All Alc,99,1704, Washington St,"(0.0, 0.0)",42.33697115,-71.07592868948728
"August Summer Group, LLC",02/18/2015 12:00:00 AM,12/31/2016 12:00:00 AM,Malt Wine,32,169, Brighton Av,"(0.0, 0.0)",42.35289220704344,-71.13234082375126
"TOUCHTONE ENTERPRISES, LLC",11/20/2013 12:00:00 AM,12/31/2016 12:00:00 AM,All Alc,99,501,E Eighth ST,"(42.331251, -71.041281)",42.331287,-71.04126
"HYNES FINE DINING, LLC",11/26/2013 12:00:00 AM,12/31/2016 12:00:00 AM,All Alc,363,900,  Boylston ST,"(0.0, 0.0)",42.347137599999996,-71.08399283816692
Covered Bridge Group LLC,11/18/2014 12:00:00 AM,12/31/2016 12:00:00 AM,All Alc Restr,140,120,  Kingston ST,"(42.35228, -71.0591)",42.3522131,-71.0590854
"ZENZERO, LLC",11/25/2013 12:00:00 AM,12/31/2016 12:00:00 AM,All Alc Restr,235,530, Atlantic Av,"(0.0, 0.0)",42.3537091,-71.0529797467099
"AL DENTE, INC.",11/26/2013 12:00:00 AM,12/31/2016 12:00:00 AM,All Alc,36,109,  Salem ST,"(0.0, 0.0)",42.3642349,-71.0554623
"TRATTORIA II PANINO HANOVER, INC.",11/21/2013 12:00:00 AM,12/31/2016 12:00:00 AM,All Alc,234,278,  Hanover ST,"(0.0, 0.0)",42.36319153061224,-71.05555857142858
A & C NEWBURY STREET,11/21/2013 12:00:00 AM,12/31/2016 12:00:00 AM,All Alc,19,264,  Newbury ST,"(42.3492, -71.08312)",42.3492309,-71.0831297
"BURN, INC.                      (COMMERCIAL UNIT C)",11/21/2013 12:00:00 AM,12/31/2016 12:00:00 AM,All Alc,106,645,  Tremont ST,"(0.0, 0.0)",42.3422326,-71.0752954
"Tres Gatos, LLC",03/17/2015 12:00:00 AM,12/31/2016 12:00:00 AM,All Alc Restr,49,470,  Centre ST,"(42.31909, -71.11164)",42.3191039,-71.1117021
TRESCA RESTAURANT GROUP LLC,11/27/2013 12:00:00 AM,12/31/2016 12:00:00 AM,All Alc Restr,120,227,  Hanover ST,"(42.362994, -71.055043)",42.362989,-71.055164
"TRIDENT BOOKSELLERS, INC.",11/07/2013 12:00:00 AM,12/31/2016 12:00:00 AM,Malt Wine,224,338,  Newbury ST,"(42.34823, -71.0866)",42.3482979,-71.0866366
"DDC, LLC",11/29/2013 12:00:00 AM,12/31/2016 12:00:00 AM,All Alc,116,140,  Boylston ST,"(42.35228, -71.06622)",42.3523219,-71.0662009
COMM 973 GROUP LLC,11/29/2013 12:00:00 AM,12/31/2016 12:00:00 AM,All Alc,185,971,  Commonwealth AV,"(0.0, 0.0)",42.35128620433351,-71.11866467052933
"ST. ENTERTAINMENT GROUP, INC.",11/25/2013 12:00:00 AM,12/31/2016 12:00:00 AM,All Alc,200,100, Stuart St,"(42.350916, -71.065256)",42.350826850000004,-71.06556905055248
"ASIAN CUISINE, INC.",11/29/2013 12:00:00 AM,12/31/2016 12:00:00 AM,All Alc,72,725, Boylston St,"(0.0, 0.0)",42.3495821,-71.0801528
GREEN DOOR COFFEE HOUSE COMPANY,04/09/2015 12:00:00 AM,12/31/2016 12:00:00 AM,Malt Wine,77,284, Amory St,"(42.314637, -71.104489)",42.3143773,-71.1040468
"MURASAKI, INC.",11/18/2013 12:00:00 AM,12/31/2016 12:00:00 AM,All Alc,32,224,  Newbury ST,"(42.34973, -71.08116)",42.3497013,-71.0811355
"L.B.E., INC.",11/18/2013 12:00:00 AM,12/31/2015 12:00:00 AM,All Alc,653,295,  Franklin ST,"(42.35705, -71.05283)",42.357039549999996,-71.05275257128847
"UNION OYSTER HOUSE, INC.",11/26/2013 12:00:00 AM,12/31/2016 12:00:00 AM,All Alc,565,20, Marshall St,"(0.0, 0.0)",42.3618414,-71.0568986
"UNITY SPORTS & CULTURAL CLUB, INC.",11/25/2013 12:00:00 AM,12/31/2015 12:00:00 AM,All Alc,605,10,  Dunbar AV,"(42.28625, -71.07182)",42.286263,-71.07182014995348
"UNO RESTAURANTS, LLC",11/21/2013 12:00:00 AM,12/31/2015 12:00:00 AM,All Alc,218,731, Boylston St,"(0.0, 0.0)",42.3495198,-71.0802839
"UNO RESTAURANTS, LLC",11/21/2013 12:00:00 AM,12/31/2016 12:00:00 AM,All Alc,145,270,  Huntington AV,"(42.34151, -71.086)",42.341193373998756,-71.08729495960074
"UNO RESTAURANTS, LLC",11/21/2013 12:00:00 AM,12/31/2016 12:00:00 AM,All Alc,240,1,  Brookline AV,"(42.34842, -71.097471)",42.338786,-71.10765
Urban Cantina Inc.,11/26/2013 12:00:00 AM,12/31/2016 12:00:00 AM,All Alc,76,76,  Salem ST,"(0.0, 0.0)",42.37749866666667,-71.0664920625
FRANK PEZZANO,11/18/2013 12:00:00 AM,12/31/2016 12:00:00 AM,All Alc,82,286, Hanover St,"(0.0, 0.0)",42.36396605,-71.05454750580864
"C.O. RESTAURANT GROUP, LLC",11/26/2013 12:00:00 AM,12/31/2016 12:00:00 AM,All Alc,230,105,  Water ST,"(0.0, 0.0)",42.3579539177483,-71.05485122045528
MERENGUE CORP.,11/27/2013 12:00:00 AM,12/31/2016 12:00:00 AM,All Alc,50,57,W Dedham St,"(42.341861, -71.07242)",42.34190142268061,-71.0726427687514
PHYLLIS CORPORATION,11/18/2013 12:00:00 AM,12/31/2016 12:00:00 AM,All Alc,647,20,  Ericsson ST,"(42.29175, -71.04032)",42.2916908,-71.040698
"VICTORIA SEAFOOD RESTAURANT, INC.",11/19/2013 12:00:00 AM,12/31/2016 12:00:00 AM,Malt Wine,99,1029,  Commonwealth AV,"(42.352234, -71.12166)",42.351625066072586,-71.1215814669051
CENT' ANNI CORPORATION,11/29/2013 12:00:00 AM,12/31/2016 12:00:00 AM,All Alc,198,1024,  Massachusetts AV,"(42.32707, -71.06681)",42.327034850000004,-71.06678790696566
"QING MEI, INC.",11/26/2013 12:00:00 AM,12/31/2016 12:00:00 AM,Malt Wine,45,14, Corinth St,"(0.0, 0.0)",42.28683562857451,-71.13072320009165
GOLDEN VINTAGE GROUP LLC,11/29/2013 12:00:00 AM,12/31/2016 12:00:00 AM,All Alc,250,72, Broad St,"(0.0, 0.0)",42.35771015,-71.05274793087901
"BIG BAD DOG, LLC",11/22/2013 12:00:00 AM,12/31/2016 12:00:00 AM,All Alc,68,54,  Salem ST,"(42.363196, -71.056279)",42.37746933333333,-71.066549125
"VIVA BURRITO BOSTON, INC.",03/10/2014 12:00:00 AM,12/31/2016 12:00:00 AM,Malt Wine,38,66,  Staniford ST,"(42.362733, -71.06423)",42.3629292,-71.0640963
TORRI RAE CROWELL,11/21/2013 12:00:00 AM,12/31/2016 12:00:00 AM,All Alc,16,351, Hanover St,"(0.0, 0.0)",42.364531428571425,-71.05356378571429
"W & P HONG KONG AT FANEUIL HALL, INC.",11/19/2013 12:00:00 AM,12/31/2016 12:00:00 AM,All Alc,210,64,  Chatham ST,"(42.35959, -71.05386)",42.35961408,-71.05412731999999
Wabora Newton LLC,11/25/2013 12:00:00 AM,12/31/2016 12:00:00 AM,Malt Wine,43,254,  Newbury ST,"(42.34931, -71.08274)",42.3493363,-71.0827487
"WAGAMAMA BOSTON ONE, LLC",11/14/2013 12:00:00 AM,12/31/2016 12:00:00 AM,All Alc,162,800,  Boylston ST,"(42.34716, -71.08251)",42.3471718,-71.08250628733232
"WAGAMAMA BOSTON ONE, LLC",11/14/2013 12:00:00 AM,12/31/2016 12:00:00 AM,All Alc,148,200, Faneuil Hall Marketplace ,"(0.0, 0.0)",42.36005485,-71.05460485041264
WAHLBURGERS FENWAY LLC,11/21/2013 12:00:00 AM,12/31/2016 12:00:00 AM,All Alc,272,132, Brookline Av,"(0.0, 0.0)",42.3449449,-71.1006972
"WANG THEATRE, INC.",11/25/2013 12:00:00 AM,12/31/2016 12:00:00 AM,All Alc,4624,268, Tremont St,"(0.0, 0.0)",42.350346916666666,-71.06500625
"ANFRATTA, LLC",11/27/2013 12:00:00 AM,12/31/2016 12:00:00 AM,All Alc,110,90,N Washington ST,"(42.365401, -71.058669)",42.3654552,-71.05860886238284
"ENDEVER HOSPITALITY GROUP, LLC",11/19/2013 12:00:00 AM,12/31/2016 12:00:00 AM,All Alc,200,40,  Broad ST,"(42.358385, -71.053948)",42.35845764285714,-71.05436992857143
TYCOR CORPORATION,11/22/2013 12:00:00 AM,12/31/2016 12:00:00 AM,All Alc,131,2,  Pleasant ST,"(42.37419, -71.06311)",42.318536300000005,-71.05855890426508
"1732 CENTRE STREET,INC.",11/25/2013 12:00:00 AM,12/31/2016 12:00:00 AM,All Alc,290,1732,  Centre ST,"(0.0, 0.0)",42.2978789,-71.1302825
JOHNNIE'S ON THE SIDE LLC,11/12/2013 12:00:00 AM,12/31/2016 12:00:00 AM,All Alc,446,138,  Portland ST,"(42.363627, -71.06129)",42.3636522,-71.0611235
"CRT FOOD & BEVERAGE, INC.",11/27/2013 12:00:00 AM,12/31/2016 12:00:00 AM,All Alc,345,885,  Boylston ST,"(42.348617, -71.083619)",42.3485273,-71.0834675
"CREATIVE RESTAURANT CONCEPTS, INC.",11/29/2013 12:00:00 AM,12/31/2016 12:00:00 AM,All Alc,720,116,  Boylston ST,"(42.352228, -71.065638)",42.31690477988369,-71.10347671213286
"BEDFORD DINING, INC.",11/22/2013 12:00:00 AM,12/31/2016 12:00:00 AM,All Alc,400,116,  Brighton AV,"(42.3526, -71.1306)",42.3526314,-71.1307542
"WILLIAMS TAVERN, INC.",11/13/2013 12:00:00 AM,12/31/2016 12:00:00 AM,All Alc,43,92, A St,"(0.0, 0.0)",42.342728,-71.054576
"NOCHE-BNV III, INC.",11/21/2013 12:00:00 AM,12/31/2016 12:00:00 AM,All Alc,159,3,  Appleton ST,"(0.0, 0.0)",42.346607332284556,-71.06962874517444
"RESTAURANT ASSOCIATES, LLC AND WOLFGANG PUCK CATERING AND EVENTS, LLC",11/27/2013 12:00:00 AM,12/31/2016 12:00:00 AM,All Alc Restr,1876,100,  Northern AV,"(42.352856, -71.043074)",42.3522994,-71.0437107
PAINTED HOUSE LLC,11/27/2013 12:00:00 AM,12/31/2016 12:00:00 AM,All Alc,267,178,  Harvard AV,"(42.35116, -71.13119)",42.26028002040816,-71.12284571428572
"WONDER SPICE CAFÉ, INC.",11/15/2013 12:00:00 AM,12/31/2016 12:00:00 AM,Malt Wine,62,695,  Centre ST,"(42.31179, -71.11453)",42.2978789,-71.1302825
"WOODS L STREET TAVERN, INC.",11/29/2013 12:00:00 AM,12/31/2016 12:00:00 AM,All Alc,71,658,E Eighth ST,"(0.0, 0.0)",42.331554,-71.035441
"ESSENEX, INC.",11/26/2013 12:00:00 AM,12/31/2016 12:00:00 AM,Malt Wine,87,58,  Hemenway ST,"(0.0, 0.0)",42.345030894736844,-71.08954410526316
"DK ASSOCIATES, LLC",11/27/2013 12:00:00 AM,12/31/2016 12:00:00 AM,All Alc,174,22,W Broadway ,"(0.0, 0.0)",42.34286255,-71.05647346992941
"PIER FIVE SERVICES, INC.",11/26/2013 12:00:00 AM,12/31/2016 12:00:00 AM,All Alc,13163,200,  Seaport BL,"(42.35001, -71.04099)",42.3502036,-71.0427412
"ZAI, LLC",11/27/2013 12:00:00 AM,12/31/2016 12:00:00 AM,All Alc,34,315,  Shawmut AV,"(42.34234, -71.070529)",42.34237616666667,-71.07035325000001
"YAMATO II, INC.",11/14/2013 12:00:00 AM,12/31/2016 12:00:00 AM,All Alc,202,545, Boylston St,"(42.35081, -71.07581)",42.3507152,-71.0758934
"YAMATO, INC.",11/07/2013 12:00:00 AM,12/31/2016 12:00:00 AM,Malt Wine,99,111,  Chiswick RD,"(42.340679, -71.151644)",42.34066487585668,-71.15183870180334
"ROCK LOBSTER CO., INC.",11/22/2013 12:00:00 AM,12/31/2016 12:00:00 AM,Malt Wine,32,300, Northern Av,"(42.348009, -71.035835)",42.34807095,-71.03582339459166
"YARD HOUSE BOSTON FENWAY TRIANGLE, LLC",11/26/2013 12:00:00 AM,12/31/2016 12:00:00 AM,All Alc,672,126,  Brookline AV,"(42.34533, -71.10015)",42.345451,-71.1001214
"Tremont Street Burgers,LLC",11/25/2013 12:00:00 AM,12/31/2016 12:00:00 AM,Malt Wine,82,140,  Tremont ST,"(42.355646, -71.062559)",42.3555609,-71.06237338624665
